id,mode,query_kind,prompt,expected_intent,actual_intent,score,latency_ms,has_citations,citations,details
4,phi+mistral,text,How much did I spend last month? Break it down by vendor.,spend_by_vendor,spend_by_vendor,1.0,30012.2,True,DB:documents,"{""intent"": ""spend_by_vendor"", ""has_citations"": true, ""gold_top_name"": ""BES BUYS TECH."", ""gold_top_amount"": 4221.72, ""pred_amounts_sample"": [4221.72, 4221.72, 4.0, 394.95, 243.0, 187.15, 183.28, 49.53, 554.0, 47.97], ""top_name_ok"": true, ""top_amount_ok"": true, ""amt_not_applicable"": false}"
5,phi+mistral,text,Show my top 5 spending categories this month.,spending_by_category,spending_by_category,1.0,30004.7,True,DB:documents,"{""intent"": ""spending_by_category"", ""has_citations"": true, ""gold_top_name"": ""supplies"", ""gold_top_amount"": 4291.41, ""pred_amounts_sample"": [4291.41, 4291.41, 754.85, 504.33], ""top_name_ok"": true, ""top_amount_ok"": true, ""amt_not_applicable"": false}"
6,phi+mistral,text,Find duplicate receipts (same vendor/date/total) and flag them.,duplicates,duplicates,1.0,30004.95,True,DB:documents,"{""intent"": ""duplicates"", ""has_citations"": true, ""gold_top_name"": ""SANAN BERKELEY"", ""gold_top_amount"": null, ""top_name_ok"": true, ""top_amount_ok"": true, ""amt_not_applicable"": true}"
7,phi+mistral,text,Which documents have missing date or vendor fields?,missing_fields,missing_fields,1.0,nan,True,DB:documents,"{""intent"": ""missing_fields"", ""has_citations"": true}"
8,phi+mistral,text,Show all receipts over $100 in the last 90 days.,threshold_search,threshold_search,1.0,nan,True,DB:documents,"{""intent"": ""threshold_search"", ""has_citations"": true}"
9,phi+mistral,text,Find all receipts containing 'parking' in line items.,keyword_search,keyword_search,1.0,nan,True,DB:documents,"{""intent"": ""keyword_search"", ""has_citations"": true}"
10,phi+mistral,text,What’s my average lunch spend per week?,avg_lunch_weekly,avg_lunch_weekly,1.0,nan,True,DB:documents,"{""intent"": ""avg_lunch_weekly"", ""has_citations"": true}"
11,phi+mistral,text,Create a reimbursement summary for Feb 1–Feb 15 with totals by category.,reimbursement_summary,reimbursement_summary,1.0,nan,True,DB:documents,"{""intent"": ""reimbursement_summary"", ""has_citations"": true}"
12,phi+mistral,text,Draft an email to my manager summarizing reimbursable expenses for this period.,reimbursement_email,reimbursement_email,1.0,nan,True,DB:documents,"{""intent"": ""reimbursement_email"", ""has_citations"": true}"
13,phi+mistral,text,Mark these receipts as ‘reimbursable’ and generate a checklist of required attachments.,mark_reimbursable,mark_reimbursable,1.0,nan,True,DB:documents,"{""intent"": ""mark_reimbursable"", ""has_citations"": true}"
14,phi+mistral,text,This receipt is in EUR—convert it to USD using the rate on the purchase date.,web_lookup,web_lookup,1.0,nan,True,WEB:currency_api,"{""intent"": ""web_lookup"", ""has_citations"": true, ""has_web_citation"": true, ""has_num"": true}"
15,phi+mistral,text,Verify this vendor’s official website/contact info and store it.,vendor_verification,vendor_verification,1.0,nan,True,WEB:duckduckgo_html,"{""intent"": ""vendor_verification"", ""has_citations"": true, ""has_web_citation"": true, ""has_url"": true}"
16,phi+mistral,text,Which receipts violate a $25 lunch limit policy?,rule_violations,rule_violations,1.0,nan,True,DB:documents,"{""intent"": ""rule_violations"", ""has_citations"": true}"
17,phi+mistral,text,"Flag suspicious invoices: missing invoice number, missing address, or unusual totals.",anomalies,anomalies,1.0,30005.06,True,DB:documents,"{""intent"": ""anomalies"", ""has_citations"": true}"
18,phi+mistral,text,Compare spending between January and February by category.,compare_spending_periods,compare_spending_periods,1.0,nan,True,DB:documents,"{""intent"": ""compare_spending_periods"", ""has_citations"": true}"
19,phi+mistral,text,Generate a CSV-style summary of all receipts for my expense report.,export_csv,export_csv,1.0,nan,True,DB:documents,"{""intent"": ""export_csv"", ""has_citations"": true}"
20,phi+mistral,text,Explain why a receipt was flagged and what I should do next.,explain_flag,explain_flag,1.0,nan,True,DB:documents.doc_id=28|DB:audit_flags.doc_id=28,"{""intent"": ""explain_flag"", ""has_citations"": true}"
